,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,112.93,885,99943.05,56.95,100000.0,Buy
1,2014-10-20,163.04,885,144290.4,56.95,144347.35,Sell
2,2014-10-21,166.11,868,144183.48,163.87,144347.35,Buy
3,2015-08-27,173.29,868,150415.72,163.87,150579.59,Sell
4,2015-10-29,184.21,817,150499.57,80.02,150579.59,Buy
5,2015-12-15,180.98,817,147860.66,80.02,147940.68,Sell
6,2015-12-31,182.44,810,147776.4,164.28,147940.68,Buy
7,2016-01-04,178.31,810,144431.1,164.28,144595.38,Sell
8,2016-04-20,187.69,770,144521.3,74.08,144595.38,Buy
9,2016-05-09,183.77,770,141502.9,74.08,141576.97999999998,Sell
10,2016-06-03,187.96,753,141533.88,43.1,141576.97999999998,Buy
11,2018-10-30,247.39,753,186284.67,43.1,186327.77000000002,Sell
12,2019-02-20,262.18,710,186147.8,179.97,186327.77000000002,Buy
13,2020-03-12,246.17,710,174780.7,179.97,174960.67,Sell
14,2020-06-02,296.51,590,174940.9,19.77,174960.67,Buy
15,2022-02-25,426.44,590,251599.6,19.77,251619.37,Sell
16,2022-03-25,449.22,560,251563.2,56.17,251619.37,Buy
17,2022-04-19,435.98,560,244148.8,56.17,244204.97,Sell
