,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,112.93,885,99943.05,56.95,100000.0,Buy
1,2015-09-02,171.18,885,151494.3,56.95,151551.25,Sell
2,2015-11-04,186.86,811,151543.46,7.79,151551.25,Buy
3,2016-01-14,168.58,811,136718.38,7.79,136726.17,Sell
4,2016-04-26,186.87,731,136601.97,124.2,136726.17,Buy
5,2018-11-05,255.62,731,186858.22,124.2,186982.42,Sell
6,2019-02-26,263.42,709,186764.78,217.64,186982.42,Buy
7,2020-03-18,227.18,709,161070.62,217.64,161288.26,Sell
8,2020-06-08,309.73,520,161059.6,228.66,161288.26,Buy
9,2022-03-03,437.22,520,227354.4,228.66,227583.06,Sell
10,2022-03-31,455.92,499,227504.08,78.98,227583.06,Buy
11,2022-04-25,421.85,499,210503.15,78.98,210582.13,Sell
