,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,6.57,15220,99995.4,4.6,100000.0,Buy
1,2012-07-10,6.53,15220,99386.6,4.6,99391.20000000001,Sell
2,2012-07-30,6.76,14702,99385.52,5.68,99391.20000000001,Buy
3,2012-10-24,7.13,14702,104825.26,5.68,104830.93999999999,Sell
4,2013-01-08,7.58,13829,104823.82,7.12,104830.93999999999,Buy
5,2013-06-24,8.91,13829,123216.39,7.12,123223.51,Sell
6,2013-07-09,9.77,12612,123219.24,4.27,123223.51,Buy
7,2013-08-21,9.77,12612,123219.24,4.27,123223.51000000001,Sell
8,2013-09-11,10.18,12104,123218.72,4.79,123223.51000000001,Buy
9,2013-10-09,9.92,12104,120071.68,4.79,120076.46999999999,Sell
10,2013-10-21,10.97,10945,120066.65,9.82,120076.46999999999,Buy
11,2014-01-28,11.49,10945,125758.05,9.82,125767.87000000001,Sell
12,2014-02-18,12.25,10266,125758.5,9.37,125767.87000000001,Buy
13,2014-04-14,12.14,10266,124629.24,9.37,124638.61,Sell
14,2014-04-21,12.61,9884,124637.24,1.37,124638.61,Buy
15,2014-08-04,13.55,9884,133928.2,1.37,133929.57,Sell
16,2014-08-20,14.29,9372,133925.88,3.69,133929.57,Buy
17,2014-10-02,13.81,9372,129427.32,3.69,129431.01000000001,Sell
18,2014-11-10,15.1,8571,129422.1,8.91,129431.01000000001,Buy
19,2014-12-17,14.34,8571,122908.14,8.91,122917.05,Sell
20,2014-12-18,15.26,8054,122904.04,13.01,122917.05,Buy
21,2015-01-07,14.91,8054,120085.14,13.01,120098.15,Sell
22,2015-01-26,15.37,7813,120085.81,12.34,120098.15,Buy
23,2015-01-29,14.72,7813,115007.36,12.34,115019.7,Sell
24,2015-02-17,16.05,7166,115014.3,5.4,115019.7,Buy
25,2015-03-12,15.4,7166,110356.4,5.4,110361.79999999999,Sell
26,2015-03-20,16.2,6812,110354.4,7.4,110361.79999999999,Buy
27,2015-03-27,15.5,6812,105586.0,7.4,105593.4,Sell
28,2015-04-08,15.85,6662,105592.7,0.7,105593.4,Buy
29,2015-05-07,15.88,6662,105792.56,0.7,105793.26,Sell
30,2015-05-18,16.53,6400,105792.0,1.26,105793.26,Buy
31,2015-06-09,15.94,6400,102016.0,1.26,102017.26,Sell
32,2015-06-12,16.25,6277,102001.25,16.01,102017.26,Buy
33,2015-06-15,15.95,6277,100118.15,16.01,100134.15999999999,Sell
34,2015-06-24,16.57,6043,100132.51,1.65,100134.15999999999,Buy
35,2015-06-29,16.01,6043,96748.43,1.65,96750.07999999999,Sell
36,2015-07-20,16.71,5789,96734.19,15.89,96750.07999999999,Buy
37,2015-07-28,15.92,5789,92160.88,15.89,92176.77,Sell
38,2015-11-03,16.18,5696,92161.28,15.49,92176.77,Buy
39,2015-12-11,15.12,5696,86123.52,15.49,86139.01000000001,Sell
40,2016-03-22,15.31,5626,86134.06,4.95,86139.01000000001,Buy
41,2016-05-19,15.26,5626,85852.76,4.95,85857.70999999999,Sell
42,2016-05-26,16.08,5339,85851.12,6.59,85857.70999999999,Buy
43,2016-06-28,14.98,5339,79978.22,6.59,79984.81,Sell
44,2016-07-12,16.96,4716,79983.36,1.45,79984.81,Buy
45,2016-09-13,16.94,4716,79889.04,1.45,79890.48999999999,Sell
46,2016-11-22,17.95,4450,79877.5,12.99,79890.48999999999,Buy
47,2017-04-17,20.28,4450,90246.0,12.99,90258.99,Sell
48,2017-04-26,21.22,4253,90248.66,10.33,90258.99,Buy
49,2017-05-19,20.97,4253,89185.41,10.33,89195.74,Sell
50,2017-05-22,21.23,4201,89187.23,8.51,89195.74,Buy
51,2017-08-14,22.53,4201,94648.53,8.51,94657.04,Sell
52,2017-08-15,22.78,4155,94650.9,6.14,94657.04,Buy
53,2017-08-21,21.96,4155,91243.8,6.14,91249.94,Sell
54,2017-09-01,22.92,3981,91244.52,5.42,91249.94,Buy
55,2018-02-07,26.98,3981,107407.38,5.42,107412.8,Sell
56,2018-02-20,27.61,3890,107402.9,9.9,107412.8,Buy
57,2018-02-21,27.58,3890,107286.2,9.9,107296.09999999999,Sell
58,2018-02-27,28.84,3720,107284.8,11.3,107296.09999999999,Buy
59,2018-03-02,26.31,3720,97873.2,11.3,97884.5,Sell
60,2018-03-13,29.15,3357,97856.55,27.95,97884.5,Buy
61,2018-03-16,28.24,3357,94801.68,27.95,94829.62999999999,Sell
62,2018-05-15,27.37,3464,94809.68,19.95,94829.62999999999,Buy
63,2018-05-16,27.26,3464,94428.64,19.95,94448.59,Sell
64,2018-06-05,27.99,3374,94438.26,10.33,94448.59,Buy
65,2018-06-29,27.57,3374,93021.18,10.33,93031.51,Sell
66,2018-07-02,27.04,3440,93017.6,13.91,93031.51,Buy
67,2018-10-12,28.45,3440,97868.0,13.91,97881.91,Sell
68,2019-02-06,27.13,3607,97857.91,24.0,97881.91,Buy
69,2019-02-19,27.82,3607,100346.74,24.0,100370.74,Sell
70,2019-02-20,28.09,3573,100365.57,5.17,100370.74,Buy
71,2019-05-15,28.76,3573,102759.48,5.17,102764.65,Sell
72,2019-06-12,30.1,3414,102761.4,3.25,102764.65,Buy
73,2019-08-07,29.26,3414,99893.64,3.25,99896.89,Sell
74,2019-09-09,32.17,3105,99887.85,9.04,99896.89,Buy
75,2019-09-24,32.48,3105,100850.4,9.04,100859.43999999999,Sell
76,2019-10-16,32.13,3139,100856.07,3.37,100859.43999999999,Buy
77,2020-02-26,35.4,3139,111120.6,3.37,111123.97,Sell
78,2020-05-26,29.85,3722,111101.7,22.27,111123.97,Buy
79,2020-09-22,35.33,3722,131498.26,22.27,131520.53,Sell
80,2020-10-09,38.95,3376,131495.2,25.33,131520.53,Buy
81,2020-10-28,35.9,3376,121198.4,25.33,121223.73,Sell
82,2020-11-10,40.54,2990,121214.6,9.13,121223.73,Buy
83,2021-03-05,46.87,2990,140141.3,9.13,140150.43,Sell
84,2021-03-08,47.89,2926,140126.14,24.29,140150.43,Buy
85,2021-03-09,48.17,2926,140945.42,24.29,140969.71000000002,Sell
86,2021-03-10,49.14,2868,140933.52,36.19,140969.71000000002,Buy
87,2021-09-21,62.02,2868,177873.36,36.19,177909.55,Sell
88,2021-09-27,63.8,2788,177874.4,35.15,177909.55,Buy
89,2021-09-30,61.83,2788,172382.04,35.15,172417.19,Sell
90,2021-10-19,65.42,2635,172381.7,35.49,172417.19,Buy
91,2022-01-11,70.15,2635,184845.25,35.49,184880.74,Sell
92,2022-01-12,72.08,2564,184813.12,67.62,184880.74,Buy
93,2022-01-18,68.42,2564,175428.88,67.62,175496.5,Sell
94,2022-04-05,66.59,2635,175464.65,31.85,175496.5,Buy
95,2022-04-13,61.58,2635,162263.3,31.85,162295.15,Sell
