,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,112.93,885,99943.05,56.95,100000.0,Buy
1,2015-09-04,169.62,885,150113.7,56.95,150170.65000000002,Sell
2,2015-11-06,185.43,809,150012.87,157.78,150170.65000000002,Buy
3,2016-01-19,168.95,809,136680.55,157.78,136838.33,Sell
4,2016-04-28,186.36,734,136788.24,50.09,136838.33,Buy
5,2018-11-07,260.42,734,191148.28,50.09,191198.37,Sell
6,2019-02-28,263.26,726,191126.76,71.61,191198.37,Buy
7,2020-03-20,234.59,726,170312.34,71.61,170383.94999999998,Sell
8,2020-06-10,310.89,548,170367.72,16.23,170383.94999999998,Buy
9,2022-03-07,428.36,548,234741.28,16.23,234757.51,Sell
10,2022-04-04,451.18,520,234613.6,143.91,234757.51,Buy
11,2022-04-27,415.45,520,216034.0,143.91,216177.91,Sell
